lon,lat,depth,Time UTC,mag
115.43,-8.31,10,2017-09-25T12:36:48,2.5
115.43,-8.28,10,2017-09-25T12:39:55,2.8
115.46,-8.29,10,2017-09-25T13:02:47,2.7
115.46,-8.32,10,2017-09-25T13:26:30,2.5
115.47,-8.29,10,2017-09-25T13:44:52,2.7
115.46,-8.28,11,2017-09-25T16:10:54,2.8
115.46,-8.28,10,2017-09-25T16:19:36,2.6
115.45,-8.31,11,2017-09-25T16:25:13,2.5
115.47,-8.31,10,2017-09-25T19:37:22,3.4
115.48,-8.31,10,2017-09-25T20:02:27,3.2
115.43,-8.31,13,2017-09-26T00:40:17,2.2
115.44,-8.31,14,2017-09-26T01:43:52,3.1
115.42,-8.27,13,2017-09-26T01:47:42,2.6
115.44,-8.28,16,2017-09-26T04:02:06,2.8
115.5,-8.32,10,2017-09-26T08:27:09,4.2
115.48,-8.24,11,2017-09-26T08:52:36,2.7
115.44,-8.31,10,2017-09-26T10:06:13,2.9
115.43,-8.3,10,2017-09-26T10:43:46,2.8
115.46,-8.32,10,2017-09-26T13:36:26,3
115.44,-8.31,10,2017-09-26T13:44:48,2.8
115.45,-8.34,10,2017-09-26T13:54:58,3
115.48,-8.3,10,2017-09-26T14:34:50,2.8
115.46,-8.27,10,2017-09-26T14:47:10,3
115.43,-8.33,10,2017-09-26T14:54:00,2.7
115.42,-8.29,16,2017-09-26T14:57:43,2.7
115.45,-8.3,10,2017-09-26T15:04:19,2.7
115.46,-8.29,11,2017-09-26T15:15:12,2.4
115.46,-8.31,10,2017-09-26T15:21:55,2.9
115.48,-8.29,10,2017-09-26T15:27:47,3.3
115.37,-8.3,18,2017-09-26T17:35:52,3.1
115.47,-8.29,10,2017-09-26T17:35:52,3.1
115.47,-8.29,10,2017-09-26T17:59:28,2.9
115.46,-8.28,12,2017-09-26T18:07:29,2.8
115.47,-8.29,11,2017-09-26T18:28:01,2.8
115.46,-8.28,12,2017-09-26T18:55:09,3
115.44,-8.31,10,2017-09-26T19:40:41,2.6
115.49,-8.28,15,2017-09-26T22:29:52,3
115.45,-8.26,11,2017-09-26T23:25:41,2.8
115.43,-8.32,10,2017-09-27T01:10:23,2.7
115.48,-8.29,10,2017-09-27T03:59:32,3.2
115.46,-8.28,12,2017-09-27T05:11:04,3.4
115.47,-8.34,10,2017-09-27T05:12:10,4.1
115.4,-8.29,10,2017-09-27T05:25:30,3
115.44,-8.29,10,2017-09-27T05:41:32,2.8
115.43,-8.28,10,2017-09-27T06:08:31,2.6
115.46,-8.31,10,2017-09-27T06:19:03,2.8
115.47,-8.32,10,2017-09-27T06:49:49,3.1
115.43,-8.28,10,2017-09-27T07:10:11,2.8
115.51,-8.25,14,2017-09-27T07:16:10,2.7
115.43,-8.36,10,2017-09-27T07:23:16,2.9
115.42,-8.37,10,2017-09-27T08:17:43,3.3
115.49,-8.28,10,2017-09-27T09:46:46,3
115.46,-8.31,10,2017-09-27T12:46:18,3.6
115.49,-8.35,10,2017-09-27T15:16:55,2.7
115.48,-8.28,10,2017-09-27T15:22:02,3.3
115.45,-8.26,13,2017-09-27T16:00:53,2.7
115.48,-8.28,10,2017-09-27T17:55:32,3.4
115.43,-8.32,10,2017-09-27T20:40:02,2.4
115.45,-8.3,10,2017-09-27T22:41:33,3.2
115.45,-8.29,10,2017-09-28T02:25:03,3
115.49,-8.28,10,2017-09-28T02:45:01,3.7
115.47,-8.31,10,2017-09-28T05:20:06,3.3
115.44,-8.28,12,2017-09-28T08:31:19,3
115.45,-8.29,11,2017-09-28T10:21:56,3.4
115.44,-8.27,13,2017-09-28T12:10:33,2.7
115.46,-8.29,10,2017-09-28T12:31:44,3.5
115.49,-8.38,10,2017-09-28T15:13:02,3.8
115.45,-8.29,10,2017-09-28T16:22:32,2.9
115.45,-8.3,10,2017-09-28T17:19:20,2.8
115.45,-8.3,10,2017-09-28T18:44:37,2.8
115.43,-8.3,13,2017-09-28T22:19:42,2.9
115.41,-8.29,10,2017-09-28T23:01:07,2.7
115.46,-8.31,10,2017-09-29T03:35:36,3.6
115.43,-8.3,14,2017-09-29T10:03:30,2.7
115.44,-8.3,11,2017-09-29T10:41:06,2.9
115.47,-8.31,10,2017-09-30T05:28:06,2.8
115.47,-8.3,10,2017-09-30T07:41:04,2.9
115.45,-8.32,10,2017-09-30T10:55:28,2.8
115.48,-8.31,10,2017-09-30T11:40:25,2.6
115.45,-8.31,10,2017-09-30T14:13:02,2.8
115.45,-8.3,10,2017-10-01T00:45:59,2.6
115.48,-8.27,11,2017-10-01T04:36:36,2.8
115.48,-8.29,10,2017-10-01T13:27:10,2.6
115.45,-8.31,10,2017-10-02T09:58:01,2.6
115.45,-8.31,10,2017-10-02T22:38:01,2.8
115.41,-8.32,12,2017-10-03T11:28:41,2.5
115.45,-8.29,14,2017-10-03T14:41:47,2.9
115.46,-8.3,12,2017-10-03T17:27:51,2.7
115.47,-8.27,10,2017-10-03T18:09:07,2.9
115.4,-8.3,10,2017-10-04T06:18:36,2.7
115.45,-8.3,11,2017-10-04T06:28:20,2.7
115.42,-8.29,10,2017-10-04T13:15:29,2.6
115.46,-8.31,10,2017-10-04T16:17:05,2.5
115.41,-8.32,10,2017-10-04T18:41:35,2.5
115.47,-8.3,10,2017-10-05T06:29:55,2.5
115.42,-8.28,14,2017-10-05T07:57:49,2.8
115.5,-8.29,12,2017-10-05T08:01:44,2.7
115.48,-8.3,10,2017-10-05T15:35:37,2.7
115.47,-8.29,10,2017-10-05T23:44:07,2.9
115.49,-8.33,10,2017-10-06T08:29:30,3
115.47,-8.33,10,2017-10-06T09:06:22,3.1
115.45,-8.33,10,2017-10-06T10:30:17,2.9
115.44,-8.32,5,2017-10-06T16:13:01,2.8
115.51,-8.28,7,2017-10-06T16:13:59,3.2
115.42,-8.32,10,2017-10-06T16:52:55,2.5
115.44,-8.32,10,2017-10-06T17:05:33,2.5
115.43,-8.32,5,2017-10-06T17:51:42,2.5
115.42,-8.31,12,2017-10-06T18:42:21,2.5
115.45,-8.27,5,2017-10-06T18:47:12,2.6
115.47,-8.3,10,2017-10-06T18:57:06,2.8
115.44,-8.32,10,2017-10-06T19:05:12,2.7
115.46,-8.3,5,2017-10-06T19:16:34,2.6
115.43,-8.31,10,2017-10-07T06:32:27,2.9
115.56,-8.27,10,2017-10-08T05:43:15,2.7
